global_id,tenant_id,name,barcode,product_code,category_global_id,brand_global_id,buy_price,sell_price,min_sell_price,qty,low_stock_threshold,status,is_active,created_at,updated_at,description,image_path,image_url,internal_notes,tags,sale_unit,supplier_name,tax_percent,discount_percent,discount_amount,buy_conversion_label,track_inventory,allow_negative_stock,supplier_item_code,net_weight_grams,manufacturing_date,expiry_date,grade,batch_number,expiry_alert_days_before,stock_base_kind,is_service,service_kind,is_pinned,pinned_at,deleted_at,owner_id
0082793b-353c-494d-9e87-0356900c13da,1,amoxicare sirop 250mg,P0100000168,N1-1788632147843771,,,0,650,0,7,0,instock,true,2026-09-13 15:21:30.537+00,2026-09-13 18:54:16.824+00,,,,,,,,0,0,0,,true,false,,,,,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
00d4cba9-895c-494c-b395-b5b17739ec3f,1,Cutacnyl gel 5%,,N1-1788545549995097,,,0,1200,0,1,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2026-08-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
01195bc2-ee44-4b7b-925c-49d69656953a,1,UPSA-C 1000mg,,N1-1788545549945600,,,0,700,0,11,5,instock,true,2026-09-13 15:21:30.537+00,2026-09-13 19:04:08.968+00,,,,,,,,0,0,0,,true,false,,,,2027-09-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
01828021-8c74-4566-aa8c-f3efcef98eb3,1,Feroglobin capsules,,N1-1788545549927484,,,0,1350,0,5,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2028-09-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
02b294ef-1f75-44dd-92ea-c1b1ac9576cc,1,Fungazone sirop,,N1-1788545550316875,,,0,2100,0,3,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2027-09-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
02f3c2bc-1bf6-46f3-a04e-a93e5ce4563b,1,Cutacnyl gel 10%,,N1-1788545549995097-2,,,0,1200,0,2,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2026-09-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
036fcfde-4b9b-4821-9e75-cfe7603b6853,1,Parogencyl nouvelle formule 75ml,,N1-1788545550292627,,,0,1300,0,1,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
07d2151e-72de-41c2-b067-5d86d62d6458,1,"Vogalènd sirop 0,4%",,N1-1788545549364560,,,0,900,0,0,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2027-02-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
09aa2580-a59a-4f3b-aaa3-2b2b789273ec,1,Navidoxine 25mg,,N1-1788545549952886,,,0,1200,0,4,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2028-04-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
0a55a2b4-9062-4f05-9817-b5ec0bc8379e,1,Nospa 40mg B20,P0100000173,N1-1789315564708000,,,0,850,850,10,0,instock,true,2026-09-13 19:06:04.672+00,2026-09-13 19:06:04.765+00,,,,,,,,0,0,0,,true,false,,,2026-01-01,2028-12-01,,,14,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
0e64cb6a-3101-4786-9446-6766a8009c21,1,Süsinna sweetener 1200 tablets,,N1-1788545550000084-1,,,0,1500,0,0,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2028-08-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
0e834124-5e45-43ce-82b9-e745443fb92c,1,Toco 500mg,,N1-1788545549991847,,,0,900,0,3,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2029-08-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
0f58285e-4f85-454e-93b0-0583b2e93e81,1,fucidine creme,P0100000165,N1-1788630078102798,,,0,1000,0,0,0,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
10bc095f-b8f5-4e47-81ba-3152dd09c931,1,Doliprane 300mg,,N1-1788545550282347,,,0,550,0,4,5,low,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2026-12-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
147f5b87-0801-49ba-b26b-1cfdb190a1b9,1,Glucose 5%,,N1-1788545549997091-1,,,0,500,0,19,5,instock,true,2026-09-13 15:21:30.537+00,2026-09-13 15:21:30.537+00,,,,,,,,0,0,0,,true,false,,,,2027-01-01,,,,0,false,,false,,,18efcc81-070c-41aa-8aa4-8cae27d91469
